ca_volume,doc_id,granularity,scan,orig_page,tomo_leaf,savage_page,year,doc_date,date_text,date_confidence,author,recipient,place,people,places,themes,source_type,doc_type,detail,rating,ia_url,tomo,series,archive,summary,verified,cite
1,11,item,n11–n12,11–12,,12–13,1776,1776-11-04,1776-11-04,exact,Felipe de Neve,Joaquín Cañete,Loreto (B. Cal.),,,neve; canete; salgado; alvarez-osorio; command; presidio-loreto; alta-california-move,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n11,I–II,Provincial State Papers,BANC MSS C-A 1,"Dispone que despachada la Nao de Filipinas, Cañete vaya a Loreto a tomar el mando; el sargento Francisco Salgado pase a Santa Ana a mandar aquella escolta; el comisario Francisco Álvarez Osorio continuará bajo el inventario de su antecesor Felipe Barry; PD Neve a punto de partir (traslado a Alta Cal.) — ganados pasados a San Ignacio 'para los nuevos establecimientos'",,"Provincial State Papers, MS, p. 11–12, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 12–13 (original destroyed 1906; digitized scan n11–n12)"
1,12,item,n12–n13,12–13,,13–14,1778,1778-10-17,1778-10-17,exact,"Fernando de Rivera y Moncada (Tte. de Gob. en Californias, Cap. del Presidio)",Joaquín Cañete,Loreto (B. Cal.),,,manila-galleon; rivera-y-moncada; canete; contraband; lt-governor,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n12,I–II,Provincial State Papers,BANC MSS C-A 1,"Prohíbe todo trato de las gentes del Sur con la Nao de Filipinas; Cañete pasará a San José del Cabo a celar que no haya comercio de reales, plata en pasta, oro y perlas; embargará cuanto se adquiera y dará cuenta al presidio. 1ª aparición de Rivera y Moncada como Tte. de Gob.",,"Provincial State Papers, MS, p. 12–13, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 13–14 (original destroyed 1906; digitized scan n12–n13)"
1,13,item,n13–n20,13–20,,14–21,1769,1769-01-05,1769-01-05,exact,Vicente Vila (Piloto y Comandante del paquebote *San Carlos* alias *Toysón de Oro*),,Puerto de La Paz (B. Cal.),,,sacred-expedition; san-carlos; vicente-vila; pedro-fages; muster-roll; rations; founding; 1769; la-paz; rivera-y-moncada,verbatim transcription,verbatim,,2,https://archive.org/details/168036075_79_3_2/page/n13,I–II,Provincial State Papers,BANC MSS C-A 1,"Estado y Reglamento del rancho (raciones) y provisiones del paquebote *San Carlos* — buque insignia de la Expedición Sacra a San Diego/Monterrey (8 pp.). Roster 62 personas: Mesa de la Cámara = 6; Tropa = 25 (1 sarg., 1 cabo, 23 soldados); Tripulación = 25 (inc. 2 pajes); Oficios = 6 (panadero + 2 herreros, cocinero + 2 tortilleros). Inventario ración-por-ración (carne, pescado, galleta, maíz, arroz/garbanzos, vinagre, aguardiente, vino, queso, higos/pasas) con 'Resumen de lo embarcado'. ⚑ Detalles fundacionales: tinajas de vino/aguardiente marcadas E.T. para la expedición de tierra, a entregar al Cap. Fernando Rivera en San Diego/Monterrey; provisiones para las Nuevas Misiones de San Diego y Monterrey; 4 gallinas 'las únicas que hay' a criar en Monterrey; panocha para 'gratificar á los Indios'. Cierra con decreto de Gálvez ordenando el embargo/embarque (intervención de Pedro Fages, Cmdte. de la Tropa a bordo, y oficiales Manuel Iñiega y Miguel de Ayanza) + recibo de Vila. Savage nota 'copia simple', pp.15–26. ⚠ Savage salta de 1778 a 1769 (dosier no cronológico)",,"Provincial State Papers, MS, p. 13–20, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 14–21 (original destroyed 1906; digitized scan n13–n20)"
1,14,item,n22–n31,22–31 (Sav: exp. pp.28–37),,23–32,1769,1769-01-05,1769-01-05,exact,José de Gálvez (Visitador Gral.),"Vicente Vila (Piloto 1º de la Rl Armada, Cap. Cmdte. del *San Carlos/Toysón de Oro*)",Puerto de La Paz (B. Cal.),,,sacred-expedition; san-carlos; vicente-vila; galvez; founding-charter; sailing-instructions; vizcaino; costanso; fages; san-diego; monterey; san-francisco; carmelo; 1769,verbatim transcription,verbatim,,3,https://archive.org/details/168036075_79_3_2/page/n22,I–II,Provincial State Papers,BANC MSS C-A 1,"INSTRUCCIÓN para el viaje del *San Carlos* a los puertos de San Diego (33°) y Monterrey (37°) — carta fundacional de la Expedición Sacra por mar, 14 artículos. Art. 1º: fines = establecer la Religión Católica entre la gentilidad, extender la dominación del Rey, cubrir la península de las tentativas de una Nación extranjera; invoca la orden de Felipe III (1606) y los descubrimientos de Sebastián Vizcaíno. Arts. clave: salida 7 Ene 1769; ruta doblando Cabo San Lucas; el consorte *San Antonio/Príncipe* le sigue; en San Diego rendez-vous con la expedición de tierra de Rivera y Moncada (desembarcar para fundar misión y entregar víveres); reconocimiento a cargo de Pedro Fages (tropa) y del ingeniero Miguel Costansó (planos); seguir a Monterrey a construir fuerte/presidio; 3er paquebote *San José* a despacharse 3 meses tras el *Príncipe*; reconocer costas colaterales incl. Río del Carmelo y puerto de San Francisco (38½°); disciplina de marinería y trato pacífico ('los Naturales del Norte no olvidan las ofensas'); corregir el derrotero de Cabrera Bueno; traer frutos/pieles indígenas. Firma rubricada imitando la de Gálvez; copia simple",,"Provincial State Papers, MS, p. 22–31 (Sav: exp. pp.28–37), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 23–32 (original destroyed 1906; digitized scan n22–n31)"
1,15,item,n31–n43,31–43 (Sav: pp.38–56),,32–44,1769,1769-01-05,1769-01-05,exact,José de Gálvez (Visitador Gral.),"Pedro Fages (Tte. de Infª, Cmdte. de la partida de 25 hombres —1 sarg., 1 cabo— de la Compª de Voluntarios de Cataluña, y Gefe Militar de la expedición)",La Paz (B. Cal.),,,sacred-expedition; pedro-fages; galvez; founding-charter; catalan-volunteers; military-instruction; costanso; parron; rivera-y-moncada; san-carlos; san-diego; monterey; carmelo; 1769,verbatim transcription,verbatim,,3,https://archive.org/details/168036075_79_3_2/page/n31,I–II,Provincial State Papers,BANC MSS C-A 1,"INSTRUCCIÓN militar a Pedro Fages (17 arts.) — pareja de la de Vila; carta fundacional del componente militar de la Expedición Sacra por mar a San Diego (33°) y Monterrey (37°). Fages manda la tropa y es Gefe de las Armas hasta que llegue el Gobernador por tierra a Monterrey. En San Diego: reconocer con el ing. Costansó, atraer a los Naturales, fundar misión con el R.P. Fr. Fernando Parrón, coordinar con Rivera y Moncada (guías indios para abrir camino). En Monterrey: erigir presidio provisional con artillería y estacada (traza de Costansó), reconocer el Río del Carmelo (2–3 leguas). Cláusula fuerza: si los indios resisten, hacer sentir 'la irresistible superioridad de nuestras fuerzas' con artillería; pero castigo severo a todo soldado que ofenda a los indios sin orden. ⭐ Nota final de puño y letra de Gálvez: al puerto/presidio y al pueblo/misión de Monterrey 'se ha de poner el glorioso nombre de San Carlos de Monterrey' (origen del nombre San Carlos). ⚠ Savage nota faltan palabras en un pasaje",,"Provincial State Papers, MS, p. 31–43 (Sav: pp.38–56), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 32–44 (original destroyed 1906; digitized scan n31–n43)"
1,16,item,n44–n45,44–45,,45–46,1769,1769-02-14,1769-02-14,exact,José de Gálvez,Pedro Fages y Miguel Costansó (en Monterrey),Cabo de San Lucas (B. Cal.),,,sacred-expedition; galvez; fages; costanso; san-antonio; san-jose; rivera-y-moncada; villacata; logistics; te-deum; 1769,verbatim transcription,verbatim,,2,https://archive.org/details/168036075_79_3_2/page/n44,I–II,Provincial State Papers,BANC MSS C-A 1,"'Buques para la Expedición á la Nueva California' — parte del despacho de la flota fundacional: el paquebote *San Antonio (El Príncipe)* entró a La Paz 15 Ene, careado/embetunado y limpio de mariscos, recargado, zarpa mañana (15 Feb) para Monterrey; las canoas de San Ignacio entregaron víveres para la expedición de tierra en la Bahía de San Luis Gonzaga; el Cap. Rivera escribió el 20 Dic desde el Cuartel de Villacatá con orden de llegar cuanto antes a San Diego; el 3er paquebote *San José* entró en la bahía el 13 Feb. Firmado José de Gálvez. ⭐ Posdata de puño y letra de Gálvez ('Amigos míos…'): espera que canten el Te Deum en Monterrey; saludo para el R.P. Parrón. Savage pp.57–60",,"Provincial State Papers, MS, p. 44–45, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 45–46 (original destroyed 1906; digitized scan n44–n45)"
1,17,item,n46–n47,46–47 (Sav: pp.61–62),,47–48,1769,1769-02-14,1769-02-14,exact,José de Gálvez,Pedro Fages,Cabo de San Lucas (B. Cal.),,,sacred-expedition; galvez; fages; juan-perez; san-antonio; san-carlos; monterey; 1769,verbatim transcription,verbatim,,1,https://archive.org/details/168036075_79_3_2/page/n46,I–II,Provincial State Papers,BANC MSS C-A 1,"Ordena la expedición por mar desde San Diego a Monterrey: si el *Príncipe* llega a San Diego antes que salga el *San Carlos*, embarcar la tropa por mitad en ambos buques y pasar en conserva a Monterrey (precaución por si los buques se separan). El cap. del *Príncipe* Juan Pérez está instruido",,"Provincial State Papers, MS, p. 46–47 (Sav: pp.61–62), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 47–48 (original destroyed 1906; digitized scan n46–n47)"
1,18,item,n47–n53,47–53 (Sav: pp.63–68),,48–54,1769,1769-04-29,1769-04-29/30,exact,José de Gálvez (Visitador Gral.),,Loreto (B. Cal.),,,loreto; mission-reform; galvez; jesuit-expulsion; palou; franciscans; baja-california; resettlement; pearl-diving; orphans; 1769,verbatim transcription,verbatim,,2,https://archive.org/details/168036075_79_3_2/page/n47,I–II,Provincial State Papers,BANC MSS C-A 1,"Decreto (4 artículos) para restablecer/reformar la Misión y capital de Loreto — cuna de la fe en la Península (advocación de N.ª S.ª de Loreto); N.º1: repoblar con 100 familias de indios traídas en remesas de 25 de otras misiones del Norte, con casas y suertes de tierra; N.º2: encomienda a Fr. Francisco Palou (Pdte. de Misiones y Ministro de Loreto) la admin. de temporalidades, el Rancho San Juan (ganado alzado), la huerta ex-jesuita, raciones de maíz; N.º3: traer 40 muchachos huérfanos (8–12 años) para habituarlos a pesca, buceo de perlas y marinería en las embarcaciones del Rey; N.º4: traslación de indios sobrantes entre misiones, delegada al Gob. porque Gálvez parte a Sonora. Critica el estado bajo los 'regulares expulsos' (jesuitas, expulsados 1768). Copias legalizadas por Rivera y Moncada 14 Jul 1778",,"Provincial State Papers, MS, p. 47–53 (Sav: pp.63–68), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 48–54 (original destroyed 1906; digitized scan n47–n53)"
1,19,item,n53–n58,53–58 (Sav: pp.69–76),,54–59,1769,1769-04-29,1769-04-29,exact,José de Gálvez (Visitador Gral.),,Loreto (B. Cal.),,,loreto; mission-reform; galvez; palou; town-planning; urban-grid; land-tenure; libro-de-poblacion; corvee; viticulture-ban; ornato; baja-california; 1769,verbatim transcription,verbatim,,2,https://archive.org/details/168036075_79_3_2/page/n53,I–II,Provincial State Papers,BANC MSS C-A 1,"Instrucción (14 arts.) para el restablecimiento, formación y ornato público del pueblo y misión de Loreto (la 'instrucción particular' del doc 18) — ordenanza de traza urbana + tenencia de tierra: casas de indios 12×25 varas (cuartos separados padres/hijos + corrales); calles a cordel de 16 varas; árboles de sombra ante cada puerta; plazuelas de 50–60 varas; barrio de españoles/soldados/arsenal/marinería al S con casas de 25×50 varas y altos/azoteas; fachadas blanqueadas uniformes; casas reales para el Gob./tesoro (la casa de Rivera tasada e incorporada); construcción por corvée indígena en tandas de 25–50 (raciones, 'sin pagarles salario ni jornales'); demolición de casas ex-jesuitas con indemnización; suertes de 200×100 varas con pozo por familia india; a españoles tierra para granos 'y no de viñas, ni olivares' en terreno separado del de indios. Art. 14: Libro de Población (registro de propiedad; hijuela titulada a cada poblador —indio, forastero o español— + ejidos y dehesas comunes). Copia legalizada por Rivera y Moncada 14 Jul 1778",,"Provincial State Papers, MS, p. 53–58 (Sav: pp.69–76), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 54–59 (original destroyed 1906; digitized scan n53–n58)"
1,20,item,n59–n66,59–66 (Sav: pp.77–91),,60–67,1768,1768-08-12,1768-08-12 / 1769-04-29,exact,José de Gálvez (Visitador Gral.),,Real de Santa Ana → Loreto (B. Cal.),,,land-grants; settlement-reglamento; galvez; felipe-romero; neve-precursor; fuero-militar; land-tenure; inalienability; livestock-cap; tithe-exemption; espinoza-de-los-monteros; san-jose-del-cabo; 1768; 1769,verbatim transcription,verbatim,,3,https://archive.org/details/168036075_79_3_2/page/n59,I–II,Provincial State Papers,BANC MSS C-A 1,"REGLAMENTO de concesión de solares y suertes a nuevos pobladores (instrucción dada en Sta Ana 12 Ago 1768; aplicada en la merced al soldado retirado Felipe Romero, 29 Abr 1769) — código fundacional de poblamiento del Sur, precursor directo del Reglamento de Neve (1779). Reglas: solares en plaza y calles a cordel de 14–16 varas; suertes de 200×100 varas (= ½ fanega de maíz), nº según mérito, a soldados reformados y españoles de buenas costumbres sin dañar a los naturales; tierras hereditarias, indivisibles e inajenables a perpetuidad, sin censos/hipotecas (pena de comiso); aprovechamiento común de aguas y pastos; tope de 50 cabezas por especie ('no se estanque en pocos vecinos la verdadera riqueza'); exención de diezmos 3 años (condicionada a edificar/cercar el 1er año), luego 1 almud de maíz/trigo por suerte al Rey; cría obligatoria de puercas y equipo de labranza tasado; fuero militar a los pobladores (caballo+fusil+espada+adarga, milicia contra invasión/alzamiento indio); registro por el Comisario Rl sarg. Manuel Espinoza de los Monteros en el Libro de Población. Merced a Romero: solar + 4 suertes (2 riego/2 temporal) en San José del Cabo + casa/ganado de la ex-misión San Luis Gonzaga + derecho a reducir ganado alzado (⅕). Copia autenticada por Rivera y Moncada",,"Provincial State Papers, MS, p. 59–66 (Sav: pp.77–91), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 60–67 (original destroyed 1906; digitized scan n59–n66)"
1,21,item,n66–n68,66–68 (Sav: pp.92–94),,67–69,1768,1768-12-27,1768-12-27,exact,José de Gálvez (Visitador Gral.),,La Paz (B. Cal.),,,sacred-expedition; galvez; vicente-vila; commission; san-carlos; san-antonio; ayanza; alta-california; 1768,verbatim transcription,verbatim,,2,https://archive.org/details/168036075_79_3_2/page/n66,I–II,Provincial State Papers,BANC MSS C-A 1,"Patente/nombramiento de Vicente Vila como mayor y comandante del *San Carlos* y Capitana de ambos bajeles para la expedición a San Diego (33°) y Monterrey (37°); jurisdicción y prerrogativas de la Rl Ordenanza de Marina, mesada de 120 pesos + 30 de gratificación; manda salir sin esperar al *San Antonio* y que todo oficial/marinero de ambos buques obedezca a Vila. Por mandato ante Miguel José de Ayanza. Copia",,"Provincial State Papers, MS, p. 66–68 (Sav: pp.92–94), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 67–69 (original destroyed 1906; digitized scan n66–n68)"
1,22,item,n68,68– (Sav: pp.95–96),,69–,1770,1770-11-13,1770-11-13,exact,José de Gálvez,Pedro Fages (en Monterrey),México,,,galvez; fages; alta-california; san-diego; monterey; administration; trillo; 1770,verbatim transcription,verbatim,,1,https://archive.org/details/168036075_79_3_2/page/n68,I–II,Provincial State Papers,BANC MSS C-A 1,"Aprueba las disposiciones de Fages en la expedición a la Alta California; acusa recibo de sus dos cartas de 16 Abr desde San Diego a punto de salir para Monterrey; aprueba la distribución de utensilios (estado remitido a Francisco Trillo para pago); Fages seguirá el mismo método; cargará a los individuos chocolate/tabaco/ropa; confía en su celo y honor, ofreciendo que el Virrey premie sus servicios",,"Provincial State Papers, MS, p. 68– (Sav: pp.95–96), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 69– (original destroyed 1906; digitized scan n68)"
1,23,item,n69,69–,,70–,1770,1770-11-12,1770-11-12,exact,Virrey Marqués de Croix,Pedro Fages (en Monterrey),México,,,monterey-presidio; croix; fages; junipero-serra; pedro-prat; missionaries; velicata; carmelo; san-carlos; san-buenaventura; san-francisco; santa-barbara-channel; rivera-y-moncada; guaymas; founding; 1770,verbatim transcription,verbatim,,2,https://archive.org/details/168036075_79_3_2/page/n69,I–II,Provincial State Papers,BANC MSS C-A 1,"Medidas para establecer el Presidio de Monterrey y las Misiones de California. Acusa recibo de las cartas de Fages (13 Jun, 1 Jul) con reportes de los trabajos en el Paquebot *Príncipe* y en el Presidio, y lo entregado al P. Junípero Serra; queda instruido del descubrimiento/ocupación de Monterrey. El *Príncipe* trae 10 PP. misioneros, géneros, herramientas — distribuir víveres entre presidio y misioneros; dar a la Misión parte del ganado vacuno y mular traído de Velicatá (no consumir salvo urgentísima necesidad); 2 cajones de medicinas al cirujano Pedro Prat. ⭐⭐ Órdenes fundacionales de la cadena misional: establecer la Misión San Carlos precisamente sobre el Río Carmelo con escolta de soldados de cuera; fundar misiones a lo largo de la costa hasta San Diego; de los 10 religiosos, 8 para 4 doctrinas entre San Diego y Monterrey + la de San Buenaventura; Fages con Serra a reconocer San Francisco para fundar misión 'que no quede expuesto tan importante paraje á ocupación agena'; los habitantes de las Islas del Canal de Santa Bárbara NO se extraigan a misiones de tierra firme (catequizarlos in situ); los soldados que trajo Rivera de Loreto quedan a disposición de Fages; 12 hombres de la compañía de Guaymas a enviarse para reemplazar los muertos en el viaje de mar; el *San Antonio* llevará sal a San Blas; Croix ha recomendado a Fages para ascenso a Capitán. Savage pp.97–103",,"Provincial State Papers, MS, p. 69–, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 70– (original destroyed 1906; digitized scan n69)"
1,24,item,n71–n72,71–72 (Sav: pp.104–111),,72–73,1779,1779-05-03,1779-05-03,exact,Mariano Antonio Cordero (soldado),Gobierno,San Diego,,,soldier-petition; san-diego; monterey; retirement; cordero; 1779,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n71,I–II,Provincial State Papers,BANC MSS C-A 1,Memorial: pide retiro (11 años de servicio) o pase al Presidio de Monterrey; se queja de cuatro soldados que insultan a su mujer y detalla disgustos de familia. ⚠ Savage salta a 1779 (dosier no cronológico),,"Provincial State Papers, MS, p. 71–72 (Sav: pp.104–111), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 72–73 (original destroyed 1906; digitized scan n71–n72)"
1,25,item,n72,72 (Sav: pp.112–113),,73,1771,1771-06-26,1771-06-26,exact,Felipe de Barry,Pedro Fages,Loreto (B. Cal.),,,reinforcement; barry; fages; catalan-volunteers; velicata; monterey; 1771,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n72,I–II,Provincial State Papers,BANC MSS C-A 1,"Envía 14 soldados (Voluntarios de Infª de Cataluña) que por orden del Virrey deben servir en Monterrey; los remite —unos por tierra, otros por mar— a la misión de San Fernando de Velicatá, pagados hasta fin de agosto y racionados; de allí pasarán a San Diego",,"Provincial State Papers, MS, p. 72 (Sav: pp.112–113), Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 73 (original destroyed 1906; digitized scan n72)"
