record_id,ca_volume,doc_id,scan,ia_url,author,recipient,place,date,scan_pin,orig_page,savage_page,summary_fidelity,omissions,note
ca6-d124,6,124,n119,https://archive.org/details/168036075_79_8/page/n119,OK,PARTIAL,OK,OK,OK,OK,OK,OK,OK,"Leaf read: 168036075_79_8 n119 (printed stamp '119', ink hand '118' beside it). Second and last of two entries on the leaf, heading verbatim: '1791 = Enero 18 = Sta Barbara / F. Goycoechea á P. Fages. / Carta de aviso'. Body verbatim: 'Que manda la relacion jurada de los oficios que ha franqueado en el año de 1790. para que se le haga el reintegro de 42 pesos y 3 reales á que asciende la correspondencia de dichos oficios.' Foot: 'p.423.' So author, place, date, both page systems, scan pin and the quoted abstract all match exactly. RECIPIENT = PARTIAL only: the leaf names an addressee ('á P. Fages') but the recipient column is empty, the name surviving only inside the author string, so the datum is present in the record yet unqueryable in its own field. Omissions OK: the leaf's first entry (accounts of 1789, maize spoiled, tithes, marginal note 'Se remitió la cuenta y libranza á las Cajas del Rosario en 10 de febrero de 91', p.422) is covered by ca6-d123."
ca6-d259,6,259,n326,https://archive.org/details/168036075_79_8/page/n326,OK,PARTIAL,OK,OK,OK,OK,OK,OK,OK,"Leaves read: 168036075_79_8 n326 (stamp '326', ink fol. '142.') and n327 (stamp '327', ink fol. '143.'), exactly as the record states. Heading verbatim on n326: '1793 - Nov.e 10 - Loreto. / Ortega á Arrillaga, sobre solicitacion de reclutas y otros asuntos.' Tail foots 'pp. 336-7-' on n327, matching orig_page. Body checked word for word against the abstract: 'en cumplim.to de su órden de 24 de Ag.to ha solicitado 6 reclutas, y el 7 de Oct.e filió á los siguientes cinco: José Jacobo Morillo, José Vicente Feliz, José M.a Morillo, Juan Felipe Ibañez y Man.l Salgado, y el 18 á Mariano Lopez'; 'continua escuela de ejercicio de fuego, manejo de armas, amanzadura de mulas'; 'hizo traer doce quebrantadas (á medio amansar) de S.n José y ya las tienen mansas'; 'regresaron de Pichilingue la Goleta y el Javeque, habiendo ido y vuelto en 15 dias á pesar de los Nortes, y espera la llegada de la Loretana dentro de pocos dias'; 'Dice mando q.e los utensilios de fundacion mando viniesen de preferencia'. Every element of the abstract is on the leaf. RECIPIENT = PARTIAL for the same structural reason as ca6-d124: Arrillaga is named only inside the author string, the recipient column is blank. Omissions OK: the rest of n326 is d257's tail (p.334) and d258 (p.335)."
ca7-d449,7,449,n344,https://archive.org/details/168036075_79_9_2/page/n344,OK,OK,PARTIAL,OK,OK,OK,OK,WRONG,OK,"Leaf read: 168036075_79_9_2 n344 (printed stamp '340'; copyist's own page '(126.)' written at head, which is what savage_page records, correctly). Heading verbatim: '1795. = Junio 19 = México. / Branciforte á Borica, sobre remision de Artesanos á esta Península.' Foot: 'pp. 297 = 299'. Author, recipient, date, orig_page, savage_page and scan pin all confirmed. PLACE = PARTIAL: the leaf gives 'México' as the place of writing but the place column is empty, the datum surviving only as a parenthesis in the author string. SUMMARY = WRONG: the abstract presents a verbatim quotation that the leaf does not support. The catalogue prints Savage's note as 'ya se tomó nota á consecuencia de fojas 241 á 243… y de foja 168 á 172. Esta es copia'. The leaf reads, in full and unambiguously at high magnification: '(De este documento ya se tomó nota y corre de fojas 241 á 243 del mismo volúmen, y de fojas 108 á 112 de esta copia = Copista.)' Three departures: 'y corre de' becomes 'á consecuencia de'; 'de fojas 108 á 112 de esta copia' becomes 'de foja 168 á 172'; 'de esta copia = Copista' becomes 'Esta es copia'. The misread figure matters, because 108 á 112 is precisely the Savage pagination of Doc 433 (recorded in the catalogue itself as sav (108)-(112), orig xiii.241-243), so Savage's note points at one location only, not two, and the bracketed gloss '[= Docs 373 & 433]' adds a cross-reference the leaf does not make. The duplicate finding itself is sound. Omissions OK: the leaf's first entry (the carpenter José Antonio Ramírez, pp. 295-296) is ca7-d448."
ca7-d587,7,587,n454–n455,https://archive.org/details/168036075_79_9_2/page/n454,OK,OK,PARTIAL,OK,OK,OK,OK,OK,OK,"Leaves read: 168036075_79_9_2 n454 (stamp '449', hand '235.') and n455 (stamp '450', hand '236.'), so savage_page (235)-(236) is exact and the two-leaf span is exact. Heading verbatim on n454: '1795. = Abril 9. = San Fran.co / Perez Fernandez á Borica, sobre Extractos de Revista y diario formado por el Sarg.to Pedro Amador.' Body: 'Remite por duplicado los Extractos de revista y Estado de Fuerza, correspondientes al presente mes. Asimismo acompaña el Diario formado por el Sargento de su comp.a Pedro Amador en las recorridas de Escoltas.' Foot on n455: 'p = 533', matching orig_page xiii.533. The abstract ('Remits duplicate musters + Sgt. Pedro Amador's escort-inspection diary') fairly represents this; the only thing compressed out is 'Estado de Fuerza', which 'musters' reasonably covers. PLACE = PARTIAL: leaf gives 'San Fran.co' as place of writing, place column empty, datum carried only as '(SF)' inside the author string. Omissions OK: the rest of n454 is d585's tail (Fr. Baldomero López, Mission Sta Cruz, 24 April 1795, p.531) and d586 (Abril 20, 'doce azotes á los cuatro Indios del Becerro', p.532)."
ca7-d605,7,605,n478–n483,https://archive.org/details/168036075_79_9_2/page/n478,OK,WRONG,PARTIAL,OK,OK,OK,OK,WRONG,OK,"Leaves read: 168036075_79_9_2 n478 through n483. n478 = stamp '473', hand '259.'; n483 = stamp '478', hand '264.', so the span n478-n483 and savage (259)-(264) are both exact, and n483 foots 'pp = 585 = 90', matching orig_page xiii.585-590. Date confirmed: '1795 = Octubre 1.o = San Diego.' RECIPIENT = WRONG. The catalogue records '[Nava]' as an inference; the leaf heading states the addressee outright: 'Grajera á Borica, sobre visita á la Mision de San Miguel.' PLACE = PARTIAL (leaf 'San Diego', place column empty, folded into author as '(SD)'). SUMMARY = WRONG on four discrete data points. (1) 'left London 1 Nov 1793': leaf n482 reads 'dicha Fragata salió de Londres el día 14 de Nov. de 93 fletada por el Rey Británico' (the '14' is unambiguous at high magnification). (2) '110 arrobas flour': leaf n482 reads '3 reses, 6 castrados, 40 arrobas de harina, 24 gallinas, 6 @ de cebolla, algunas calabazas, 15 fan.s de Maíz, 6 fan.s de frijol, 4 de sal' (forty, not a hundred and ten). (3) 'boarding party ashore (captain + English interpreter + 2 Black crew)': leaf n481 reads 'donde encontré dos tan solamente en tierra y los demas todos en la Lancha… me respondieron que el Capitan del barco y un marinero que le servía de intérprete y éste era un negro' (two men ashore, the captain and one Black sailor-interpreter, not four). (4) '300 barrels sperm & oil': leaf n483 reads 'y que llevaban 5[0 struck through] barriles de esperma y aceite'; whatever the cancelled digit, there is no '3' and no three-digit figure. Two further softer slips: the catalogue's 'provisioned it… against a bill in Cádiz/London' inverts the outcome, since the padres 'respondieron francamente que no necesitaban letra alguna para socorrer aquella necesidad que estaban prontos á darles lo que pidieran'; and the captain's name is silently normalised, the leaf reading 'su capitan se llama Juan Lochi'. The narrative frame (pedrero and horse into the estero, 'que caballo y cañon cayeron en el Estero; de suerte que el caballo murió [se ahogó] y el cañon no pudimos hacer uso de él, porque se llenó de agua', course for the Ensenada de Todos Santos, crew of 50 plus the officer's widow, Acapulco leg) is accurate. Omissions OK: n478's other entry (Arrillaga á Borica, 21 Aug 1795, relacion de Embarcaciones, pp. 583-84) is ca7-d604."
ca7-d618,7,618,n487,https://archive.org/details/168036075_79_9_2/page/n487,OK,OK,PARTIAL,OK,OK,OK,OK,OK,OK,"Leaf read: 168036075_79_9_2 n487 (stamp '482', hand '268.'), so savage_page (268) is exact. Entry verbatim in full: '1795 = Enero 20 = San Diego. / Grajera á Borica / Sobre memoriales. / p - 607.' Author, recipient, date, orig_page xiii.607 and the one-line abstract all match the leaf exactly. PLACE = PARTIAL: leaf gives 'San Diego', place column empty, datum only inside the author string as '(SD)'. Omissions OK: the leaf's other content is d617's tail (uniform regulation, 'que ningunos soldados de su compañía usen otras prendas de Vestuario que el señalado por el tít. 3.o del Reglam.to', p.606) and d619 (9 July 1795, Nicolás Manzanelli's otter-pelt expedition to Macao and Canton, p.609)."
ca8-d257,8,257,n192,https://archive.org/details/168036075_79_10/page/n192,NA,NA,NA,PARTIAL,WRONG,NA,WRONG,OK,WRONG,"Leaves read: 168036075_79_10 n191, n192, n193, n194. SCAN_PIN = WRONG. The title page is on n191, not n192. n191 is stamped '197' and carries, centred, exactly 'Provincial State Papers / Vol. XV. / 1797.' (plus a later pencil note 'Stuntz + Gomez 30'). The cited leaf n192 is stamped '198' and carries a different, complete document: '1797. Abril 1.o S.n Fr.co / Raymundo Carillo - cuenta al soldado D.n Meza. / Apunte que se le forma al contenido desde 1.o de Enero del presente año hasta 31 de Marzo inclusive en que fue escluido de su compañía. Abonos… Cargos…', footed 'p. 1.' SAVAGE_PAGE = WRONG: recorded as 196, but the title leaf bears stamp 197 and the cited leaf n192 bears 198 (196 is two leaves earlier). SUMMARY = OK: the quoted title is verbatim correct for the document it describes. DATE = PARTIAL: recorded '—', but the title leaf does print '1797'. Author, recipient, place and orig_page are legitimately empty, a title page offering none of them. OMISSIONS = WRONG: the Carrillo/Meza ajuste physically on n192 is covered by no catalogue record. I grepped all of C-A 8 for Meza/Mesa plus Carrillo/ajuste/cuenta and for every Carrillo record (d48, d64, d102, d469); none is this document. The neighbouring rows are also mis-pinned, which is how the gap opened: d258 claims n193 = Argüello monthly report p.1-2, but n193 is stamped '199' and carries 'Raymundo Carrillo - al cabo Miguel Pacheco' (foot 'p. 2') plus '1797. Mayo 29… José Argüello al Gov.r Diego de Borica. Da parte de un cabo borracho'."
ca8-d288,8,288,n230,https://archive.org/details/168036075_79_10/page/n230,OK,OK,PARTIAL,WRONG,WRONG,WRONG,WRONG,PARTIAL,WRONG,"Leaves read: 168036075_79_10 n228, n229, n230. SCAN_PIN = WRONG. n230 is stamped '236' (ink hand '39.') and carries two documents, neither of them a 31 March revista: '1797. Abril 11. Sta Barb.a / Goycoechea á Borica. Nombram.to de vicario foraneo' (Bishop Rouset de Jesús naming Fr. Fermín Fco de Lasuén vicario foráneo), foot 'p. 106'; and '1797. Abril 3. Sta. Barb.a / Goycoechea á Borica / Paso a mános de V.S. los extractos de revista y estados de fuerza p.r duplicado, corresp.te á esta compañia y á los 4 meses primeros de este año', foot 'p. 108'. SAVAGE_PAGE = WRONG: stamp 234 is n228, two leaves earlier (n228 carries '1797. En.o 15. Sta Barb.a Goycoechea a Borica. Doc.tos militares', p. 99, and '1797. Abril 2… los pesos… no quieren decir falsos las dos ojas que señalan', p. 100). ORIG_PAGE = WRONG: the cited leaf foots p. 106 and p. 108; p. 104 sits on n229 (stamp 235) and belongs to '1797. Abril 10. Sta Barbara / Goycoechea á Borica. Se reparta armam.to a vecinos'. DATE = WRONG: no 31 March 1797 document exists on the cited leaf or either neighbour; the dates actually present across n228-n230 are Enero 15, Abril 2, Abril 2, Abril 10, Abril 11, Abril 3. SUMMARY = PARTIAL: there is a revista-and-strength-return transmittal on the leaf, but it is dated 3 April and covers 'los 4 meses primeros de este año' sent 'p.r duplicado', not March alone. AUTHOR and RECIPIENT = OK on the leaf's own evidence: every Santa Bárbara letter in this stretch is 'Goycoechea á Borica'. PLACE = PARTIAL (blank; 'SB' folded into the recipient field). OMISSIONS = WRONG: the vicario foráneo letter of 11 April 1797 (p. 106) is covered by no record. I grepped C-A 8 for vicario/foraneo/Lasuén; the only hits are d299, d371, d424 and d446, none of them this document, and d289 (which claims p.106-110) is itself leaf-verified as the three war-declaration acknowledgments at pp. 111-114."
ca8-d377,8,377,n390–391,https://archive.org/details/168036075_79_10/page/n390,PARTIAL,NA,PARTIAL,WRONG,PARTIAL,OK,OK,WRONG,OK,"Leaves read: 168036075_79_10 n390 (stamp '391', ink hand '196') and n391 (stamp '392', ink hand '197'). savage_page 391 is exact, and all three diaries sit on n390 alone, footing pp 589-590, pp 591-4 and pp 595-8, so orig_page p.589-598 is exact. SCAN_PIN = PARTIAL: the document is on the first cited leaf, but the span overstates by one leaf, since n391 is wholly the next record's (three separate Ruiz-to-Borica letters, pp 599-600, 602-3, 604-5, catalogued as d378). DATE = WRONG: recorded '1797-02/04', but the headings read '1797 Feb 28 Pueblo de los Angeles', '1797 Feb. 16 Sta Barbara' and '1797 Ag.t 5 S.n Vicente'; the third is August, not April, so the true range is Feb-Aug. AUTHOR = PARTIAL: given names and ranks are dropped; the leaf reads 'Javier Alvarado', 'Pablo Cota' ('Su diario como alferez de la compañia de Sta Barbara') and 'Sarg.to José Fran.co Ruiz'. PLACE = PARTIAL (place column empty; the three places are folded into the author string). RECIPIENT = NA: these are submitted diaries with no addressee in any heading. SUMMARY = WRONG on two points, both inside what reads as a quotation. The leaf reads: 'Nada digno de mención excepto que Inocencio Mesa salió con su mujer el 11 de Julio y los gentiles lo mataron porque su padre antes havia matado algunos gentiles de este Valle.' First, 'lo mataron' is singular: only Mesa is said to be killed, not 'Mesa + wife murdered'. The catalogue's own d379 confirms it, recording that 'Mesa's widow identified the killer'. Second, the catalogue quotes 'un padre antes había matado algunos gentiles de este Valle'; the leaf plainly reads 'su padre', that is Mesa's own father, so the motive is a family vendetta, not a killing by a mission priest. That single letter reverses the meaning of the sentence. Omissions OK: n390 holds only these three diaries and all three are described."
ca9-d125,9,125,n84,https://archive.org/details/bancarchca_79_11/page/n84,OK,OK,OK,OK,OK,OK,PARTIAL,OK,OK,"Leaf read: bancarchca_79_11 n84. Second of two entries, verbatim: '1797 Dic. 6 San Fran.co / Argüello á Borica  Envio de docum.tos / Incluye la Noticia de los productos de Correos y Tabacos desde 92 hta el año 96, y de lo q.e puede producir en cada bienio la distribucion de bulas. / p. 232'. Author, recipient, place, date, orig_page 232, scan pin and the abstract all match exactly. SAVAGE_PAGE = PARTIAL: the field is empty, but the leaf does carry both numbers, a printed stamp '84' and an ink '83' above it at the top right corner, so the datum was available and is unrecorded. This is a volume-wide gap rather than a one-off error (0 of 491 C-A 9 records carry a savage_page), which makes it a systematic incompleteness worth reporting as such. Omissions OK: the leaf's first entry (1797 Dic. 7, commissioning Cabo Luis Peralta for the padrones of Sta Clara, Sta Cruz and San José, with 'el inválido Gab.l Peralta' covering Sta Clara, pp. 230-231) is ca9-d124."
ca9-d274,9,274,n162,https://archive.org/details/bancarchca_79_11/page/n162,OK,OK,OK,OK,OK,OK,PARTIAL,PARTIAL,OK,"Leaf read: bancarchca_79_11 n162 (scale 2). Second of three entries: ""1797 En.º 4  S. Diego / Grajera á Borica  sobre sueldos de Inválidos / Que impuesto seg.n r.l ord.n de 23 Marzo ult sobre los sueldos que se asignan á los Inválidos. / pp. 590"". Author, recipient, place, date (En.º 4 = 4 Jan) and orig_page 590 all confirmed at the leaf. savage_page PARTIAL: the field is blank, but the leaf bears a printed stamp ""162"" top right (pencil ""161"" beside it) — the datum exists and is not recorded (this is systematic: all 491 C-A 9 rows have savage_page empty). summary_fidelity PARTIAL: ""holds the R.O. of 23 Mar"" loosely renders ""Que impuesto seg.n r.l ord.n de 23 Marzo"" (= is informed/apprised per the R.O.), not that he holds or encloses it; substance (23 March R.O., invalids' assigned pay) is right. Omissions OK — all three documents on the leaf are catalogued (d273 Font/Herida á un soldado pp.588-589; d274; d275 Recibo de un bando)."
ca9-d314,9,314,n182,https://archive.org/details/bancarchca_79_11/page/n182,OK,OK,OK,OK,OK,OK,PARTIAL,OK,OK,"Leaf read: bancarchca_79_11 n182 (scale 2). Third entry: ""1797 Dic. 15  S. Diego / Grajera á Borica    Ascenso / Que recibió tres r.s despachos, de alf.z de este Pres.º p.ª José Lujan, de Teniente y el de su retiro de alf.z p.ª Pablo Grijalva. / p. 675"". Author, recipient, place, date and orig_page 675 all confirmed; abstract reproduces the three despachos correctly (the parenthetical Anza-veteran/Yorba-Peralta gloss is editorial context, not on the leaf, and is not contradicted by it). savage_page PARTIAL: blank in the record, but the leaf is stamped ""182"" top right (pencil ""181""). Omissions OK — the leaf's three entries are all catalogued (d312 Pase á Inválidos p.673; d313 Señales de reconocimiento p.674; d314)."
